model,AUPRC,AUPRC 95% low,AUPRC 95% high,AUROC 95% low,AUROC 95% high,ΔAUPRC vs LightGBM,Δ 95% low,Δ 95% high
Extra Trees,0.9051163625495638,0.8047239120961192,0.966103971796669,0.9066206757586407,0.9824167893483513,0.07960499265332567,0.03561885559710474,0.14335283140772903
Random Forest,0.9029807165183689,0.8072855452872174,0.9648388578774444,0.8800665817011243,0.9796519327718677,0.0768408289040477,0.025985926877817332,0.15144703108385305
Transformer,0.8859316933480981,0.7627431588336504,0.9541771913890466,0.8600934183998682,0.9727307618878459,0.060729086629039294,0.014040912629537631,0.1250056877888925
LSTM,0.8712203113372793,0.7331796285690008,0.9471094497300168,0.8760068361174829,0.9696385459021244,0.04703240252897197,-0.007678700927445762,0.11472660671408076
GRU,0.8620519840492513,0.7250196298874395,0.9452798918366828,0.8258696141880651,0.9649424826233858,0.037427497575483575,-0.009800369235862774,0.10074674728444011
Logistic Regression,0.825130793098742,0.6765297383996588,0.9256409283246695,0.7833522534366419,0.9564094034039621,0.0007922328327637765,-0.04120239575384145,0.0526077746920217
LightGBM,0.8250797288100579,0.6848516467047422,0.9211478208876906,0.8211629166817263,0.9558518246655333,0.0,0.0,0.0
XGBoost,0.8114588000003848,0.6651292723644538,0.913772306551413,0.8322961177533325,0.9557742488091368,-0.012441503362780139,-0.05131604298709197,0.01970050103774517
Dummy prior,0.28619609732594553,0.1869308600337268,0.40513129366417716,0.5,0.5,-0.5329560145266491,-0.6495915268840133,-0.4076673667657489
