model,family,input,AUROC,AUPRC,Precision@0.5,Recall@0.5,F1@0.5,Balanced accuracy,MCC,Brier,Fit seconds
Extra Trees,Bagged tree,rolling statistics,0.9527383748612235,0.9051163625495638,0.8065476190476191,0.6843434343434344,0.7404371584699454,0.8092658784947007,0.6519789764648056,0.0834377104019789,1.403286697997828
Random Forest,Bagged tree,rolling statistics,0.9399223418798173,0.9029807165183689,0.9923566878980892,0.6557239057239057,0.7896604156107451,0.8268494655180447,0.7545012031564118,0.0893400433152709,2.6803235360057442
Transformer,Attention neural net,raw sequence,0.9239955523283232,0.8859316933480981,0.7321814254859611,0.8560606060606061,0.789289871944121,0.8652560877079946,0.6997429712415758,0.11815273783079039,27.460248248004063
LSTM,Recurrent neural net,raw sequence,0.9277781755000789,0.8712203113372793,0.7058823529411765,0.7878787878787878,0.7446300715990454,0.8281277165853609,0.6361594309841438,0.11950852993172488,8.91381695200107
GRU,Recurrent neural net,raw sequence,0.9027870106169128,0.8620519840492513,0.7541703248463565,0.7230639730639731,0.7382896433175763,0.8142825771496038,0.6367002225560539,0.11706765548070791,9.410390438999457
Logistic Regression,Linear,rolling statistics,0.8825633997756848,0.825130793098742,0.6333333333333333,0.8636363636363636,0.7307692307692307,0.8315819347712698,0.6144567552954422,0.1618659258216764,11.054416766994109
LightGBM,Boosted tree,rolling statistics,0.898184511329972,0.8250797288100579,0.7713347921225383,0.5934343434343434,0.6707897240723121,0.7614488625710361,0.5703564417426736,0.1403361782317884,4.223071642001742
XGBoost,Boosted tree,rolling statistics,0.9034213776873244,0.8114588000003848,0.7361299052774019,0.45791245791245794,0.564608199273482,0.6960503902792124,0.46328156869634673,0.15516580308766786,2.4887015290005365
Dummy prior,Naive,class prior,0.5,0.28619609732594553,0.0,0.0,0.0,0.5,0.0,0.252588739018646,0.0034967989995493554
