segment,block,method,n_gt,metric,value
18071-18528,train,shap,8,ndcg@1,0.0
18071-18528,train,shap,8,hit@3,1.0
18071-18528,train,shap,8,precision@3,0.6666666666666666
18071-18528,train,shap,8,recall@3,0.25
18071-18528,train,shap,8,ndcg@3,0.5307212739772434
18071-18528,train,shap,8,hit@5,1.0
18071-18528,train,shap,8,precision@5,0.6
18071-18528,train,shap,8,recall@5,0.375
18071-18528,train,shap,8,ndcg@5,0.5147714448836774
18071-18528,train,shap,8,hit@10,1.0
18071-18528,train,shap,8,precision@10,0.5
18071-18528,train,shap,8,recall@10,0.625
18071-18528,train,shap,8,ndcg@10,0.5443695981171546
18071-18528,train,correlation_only,8,mrr,1.0
18071-18528,train,correlation_only,8,hit@1,1.0
18071-18528,train,correlation_only,8,precision@1,1.0
18071-18528,train,correlation_only,8,recall@1,0.125
18071-18528,train,correlation_only,8,ndcg@1,1.0
18071-18528,train,correlation_only,8,hit@3,1.0
18071-18528,train,correlation_only,8,precision@3,1.0
18071-18528,train,correlation_only,8,recall@3,0.375
18071-18528,train,correlation_only,8,ndcg@3,1.0
18071-18528,train,correlation_only,8,hit@5,1.0
18071-18528,train,correlation_only,8,precision@5,1.0
18071-18528,train,correlation_only,8,recall@5,0.625
18071-18528,train,correlation_only,8,ndcg@5,1.0
18071-18528,train,correlation_only,8,hit@10,1.0
18071-18528,train,correlation_only,8,precision@10,0.6
18071-18528,train,correlation_only,8,recall@10,0.75
18071-18528,train,correlation_only,8,ndcg@10,0.8358912271816661
18071-18528,train,random_floor,8,mrr,0.4169055523703179
18071-18528,train,random_floor,8,hit@1,0.2085
18071-18528,train,random_floor,8,precision@1,0.2085
18071-18528,train,random_floor,8,recall@1,0.0260625
18071-18528,train,random_floor,8,ndcg@1,0.2085
18071-18528,train,random_floor,8,hit@3,0.515
18071-18528,train,random_floor,8,precision@3,0.20433333333333167
18071-18528,train,random_floor,8,recall@3,0.076625
18071-18528,train,random_floor,8,ndcg@3,0.20467609101701753
18071-18528,train,random_floor,8,hit@5,0.7055
18071-18528,train,random_floor,8,precision@5,0.2074999999999956
18071-18528,train,random_floor,8,recall@5,0.1296875
18071-18528,train,random_floor,8,ndcg@5,0.20667580763097534
18071-18528,train,random_floor,8,hit@10,0.9245
18071-18528,train,random_floor,8,precision@10,0.2068999999999999
18071-18528,train,random_floor,8,recall@10,0.258625
18071-18528,train,random_floor,8,ndcg@10,0.2373458185676946
19367-20088,eval,shap,14,mrr,1.0
19367-20088,eval,shap,14,hit@1,1.0
19367-20088,eval,shap,14,precision@1,1.0
19367-20088,eval,shap,14,recall@1,0.07142857142857142
19367-20088,eval,shap,14,ndcg@1,1.0
19367-20088,eval,shap,14,hit@3,1.0
19367-20088,eval,shap,14,precision@3,0.6666666666666666
19367-20088,eval,shap,14,recall@3,0.14285714285714285
19367-20088,eval,shap,14,ndcg@3,0.7039180890341347
19367-20088,eval,shap,14,hit@5,1.0
19367-20088,eval,shap,14,precision@5,0.6
19367-20088,eval,shap,14,recall@5,0.21428571428571427
19367-20088,eval,shap,14,ndcg@5,0.6548086577531307
19367-20088,eval,shap,14,hit@10,1.0
19367-20088,eval,shap,14,precision@10,0.6
19367-20088,eval,shap,14,recall@10,0.42857142857142855
19367-20088,eval,shap,14,ndcg@10,0.6429424283490954
19367-20088,eval,correlation_only,14,mrr,1.0
19367-20088,eval,correlation_only,14,hit@1,1.0
19367-20088,eval,correlation_only,14,precision@1,1.0
19367-20088,eval,correlation_only,14,recall@1,0.07142857142857142
19367-20088,eval,correlation_only,14,ndcg@1,1.0
19367-20088,eval,correlation_only,14,hit@3,1.0
19367-20088,eval,correlation_only,14,precision@3,1.0
19367-20088,eval,correlation_only,14,recall@3,0.21428571428571427
19367-20088,eval,correlation_only,14,ndcg@3,1.0
19367-20088,eval,correlation_only,14,hit@5,1.0
19367-20088,eval,correlation_only,14,precision@5,1.0
19367-20088,eval,correlation_only,14,recall@5,0.35714285714285715
19367-20088,eval,correlation_only,14,ndcg@5,1.0
19367-20088,eval,correlation_only,14,hit@10,1.0
19367-20088,eval,correlation_only,14,precision@10,0.8
19367-20088,eval,correlation_only,14,recall@10,0.5714285714285714
19367-20088,eval,correlation_only,14,ndcg@10,0.8630152897016883
19367-20088,eval,random_floor,14,mrr,0.5814100434287941
19367-20088,eval,random_floor,14,hit@1,0.363
19367-20088,eval,random_floor,14,precision@1,0.363
19367-20088,eval,random_floor,14,recall@1,0.025928571428571294
19367-20088,eval,random_floor,14,ndcg@1,0.363
19367-20088,eval,random_floor,14,hit@3,0.754
19367-20088,eval,random_floor,14,precision@3,0.36666666666666864
19367-20088,eval,random_floor,14,recall@3,0.07857142857142871
19367-20088,eval,random_floor,14,ndcg@3,0.3660725733767614
19367-20088,eval,random_floor,14,hit@5,0.911
19367-20088,eval,random_floor,14,precision@5,0.36520000000000064
19367-20088,eval,random_floor,14,recall@5,0.1304285714285726
19367-20088,eval,random_floor,14,ndcg@5,0.3652429253342846
19367-20088,eval,random_floor,14,hit@10,0.9965
19367-20088,eval,random_floor,14,precision@10,0.3634499999999969
19367-20088,eval,random_floor,14,recall@10,0.25960714285714287
19367-20088,eval,random_floor,14,ndcg@10,0.36429782749184275
20786-21195,eval,shap,7,mrr,0.3333333333333333
20786-21195,eval,shap,7,hit@1,0.0
20786-21195,eval,shap,7,precision@1,0.0
20786-21195,eval,shap,7,recall@1,0.0
20786-21195,eval,shap,7,ndcg@1,0.0
20786-21195,eval,shap,7,hit@3,1.0
20786-21195,eval,shap,7,precision@3,0.3333333333333333
20786-21195,eval,shap,7,recall@3,0.14285714285714285
20786-21195,eval,shap,7,ndcg@3,0.23463936301137822
20786-21195,eval,shap,7,hit@5,1.0
20786-21195,eval,shap,7,precision@5,0.4
20786-21195,eval,shap,7,recall@5,0.2857142857142857
20786-21195,eval,shap,7,ndcg@5,0.3156484524795145
20786-21195,eval,shap,7,hit@10,1.0
20786-21195,eval,shap,7,precision@10,0.6
20786-21195,eval,shap,7,recall@10,0.8571428571428571
20786-21195,eval,shap,7,ndcg@10,0.6115302369941269
20786-21195,eval,correlation_only,7,mrr,1.0
20786-21195,eval,correlation_only,7,hit@1,1.0
20786-21195,eval,correlation_only,7,precision@1,1.0
20786-21195,eval,correlation_only,7,recall@1,0.14285714285714285
20786-21195,eval,correlation_only,7,ndcg@1,1.0
20786-21195,eval,correlation_only,7,hit@3,1.0
20786-21195,eval,correlation_only,7,precision@3,1.0
20786-21195,eval,correlation_only,7,recall@3,0.42857142857142855
20786-21195,eval,correlation_only,7,ndcg@3,1.0
20786-21195,eval,correlation_only,7,hit@5,1.0
20786-21195,eval,correlation_only,7,precision@5,1.0
20786-21195,eval,correlation_only,7,recall@5,0.7142857142857143
20786-21195,eval,correlation_only,7,ndcg@5,1.0
20786-21195,eval,correlation_only,7,hit@10,1.0
20786-21195,eval,correlation_only,7,precision@10,0.6
20786-21195,eval,correlation_only,7,recall@10,0.8571428571428571
20786-21195,eval,correlation_only,7,ndcg@10,0.9083745556952364
20786-21195,eval,random_floor,7,mrr,0.3867817633132272
20786-21195,eval,random_floor,7,hit@1,0.1885
20786-21195,eval,random_floor,7,precision@1,0.1885
20786-21195,eval,random_floor,7,recall@1,0.02692857142857162
20786-21195,eval,random_floor,7,ndcg@1,0.1885
20786-21195,eval,random_floor,7,hit@3,0.445
20786-21195,eval,random_floor,7,precision@3,0.17549999999999913
20786-21195,eval,random_floor,7,recall@3,0.07521428571428516
20786-21195,eval,random_floor,7,ndcg@3,0.17790516496562592
20786-21195,eval,random_floor,7,hit@5,0.6555
20786-21195,eval,random_floor,7,precision@5,0.18099999999999647
20786-21195,eval,random_floor,7,recall@5,0.12928571428571245
20786-21195,eval,random_floor,7,ndcg@5,0.18124772461676186
20786-21195,eval,random_floor,7,hit@10,0.9045
20786-21195,eval,random_floor,7,precision@10,0.18260000000000012
20786-21195,eval,random_floor,7,recall@10,0.26085714285714495
20786-21195,eval,random_floor,7,ndcg@10,0.22751797884659586
24679-24682,calib,shap,4,mrr,1.0
24679-24682,calib,shap,4,hit@1,1.0
24679-24682,calib,shap,4,precision@1,1.0
24679-24682,calib,shap,4,recall@1,0.25
24679-24682,calib,shap,4,ndcg@1,1.0
24679-24682,calib,shap,4,hit@3,1.0
24679-24682,calib,shap,4,precision@3,0.3333333333333333
24679-24682,calib,shap,4,recall@3,0.25
24679-24682,calib,shap,4,ndcg@3,0.46927872602275644
24679-24682,calib,shap,4,hit@5,1.0
24679-24682,calib,shap,4,precision@5,0.6
24679-24682,calib,shap,4,recall@5,0.75
24679-24682,calib,shap,4,ndcg@5,0.7095272044910244
24679-24682,calib,shap,4,hit@10,1.0
24679-24682,calib,shap,4,precision@10,0.4
24679-24682,calib,shap,4,recall@10,1.0
24679-24682,calib,shap,4,ndcg@10,0.8485833840018
24679-24682,calib,correlation_only,4,mrr,1.0
24679-24682,calib,correlation_only,4,hit@1,1.0
24679-24682,calib,correlation_only,4,precision@1,1.0
24679-24682,calib,correlation_only,4,recall@1,0.25
24679-24682,calib,correlation_only,4,ndcg@1,1.0
24679-24682,calib,correlation_only,4,hit@3,1.0
24679-24682,calib,correlation_only,4,precision@3,1.0
24679-24682,calib,correlation_only,4,recall@3,0.75
24679-24682,calib,correlation_only,4,ndcg@3,1.0
24679-24682,calib,correlation_only,4,hit@5,1.0
24679-24682,calib,correlation_only,4,precision@5,0.8
24679-24682,calib,correlation_only,4,recall@5,1.0
24679-24682,calib,correlation_only,4,ndcg@5,1.0
24679-24682,calib,correlation_only,4,hit@10,1.0
24679-24682,calib,correlation_only,4,precision@10,0.4
24679-24682,calib,correlation_only,4,recall@10,1.0
24679-24682,calib,correlation_only,4,ndcg@10,1.0
24679-24682,calib,random_floor,4,mrr,0.2752250888829328
24679-24682,calib,random_floor,4,hit@1,0.106
24679-24682,calib,random_floor,4,precision@1,0.106
24679-24682,calib,random_floor,4,recall@1,0.0265
24679-24682,calib,random_floor,4,ndcg@1,0.106
24679-24682,calib,random_floor,4,hit@3,0.287
24679-24682,calib,random_floor,4,precision@3,0.10333333333333398
24679-24682,calib,random_floor,4,recall@3,0.0775
24679-24682,calib,random_floor,4,ndcg@3,0.10396927872602282
24679-24682,calib,random_floor,4,hit@5,0.456
24679-24682,calib,random_floor,4,precision@5,0.107299999999999
24679-24682,calib,random_floor,4,recall@5,0.134125
24679-24682,calib,random_floor,4,ndcg@5,0.12261976435440135
24679-24682,calib,random_floor,4,hit@10,0.731
24679-24682,calib,random_floor,4,precision@10,0.10469999999999778
24679-24682,calib,random_floor,4,recall@10,0.26175
24679-24682,calib,random_floor,4,ndcg@10,0.18615077810097466
26114-26116,calib,shap,4,mrr,0.5
26114-26116,calib,shap,4,hit@1,0.0
26114-26116,calib,shap,4,precision@1,0.0
26114-26116,calib,shap,4,recall@1,0.0
26114-26116,calib,shap,4,ndcg@1,0.0
26114-26116,calib,shap,4,hit@3,1.0
26114-26116,calib,shap,4,precision@3,0.3333333333333333
26114-26116,calib,shap,4,recall@3,0.25
26114-26116,calib,shap,4,ndcg@3,0.2960819109658652
26114-26116,calib,shap,4,hit@5,1.0
26114-26116,calib,shap,4,precision@5,0.4
26114-26116,calib,shap,4,recall@5,0.5
26114-26116,calib,shap,4,ndcg@5,0.3973220069685352
26114-26116,calib,shap,4,hit@10,1.0
26114-26116,calib,shap,4,precision@10,0.4
26114-26116,calib,shap,4,recall@10,1.0
26114-26116,calib,shap,4,ndcg@10,0.6665048698100113
26114-26116,calib,correlation_only,4,mrr,1.0
26114-26116,calib,correlation_only,4,hit@1,1.0
26114-26116,calib,correlation_only,4,precision@1,1.0
26114-26116,calib,correlation_only,4,recall@1,0.25
26114-26116,calib,correlation_only,4,ndcg@1,1.0
26114-26116,calib,correlation_only,4,hit@3,1.0
26114-26116,calib,correlation_only,4,precision@3,1.0
26114-26116,calib,correlation_only,4,recall@3,0.75
26114-26116,calib,correlation_only,4,ndcg@3,1.0
26114-26116,calib,correlation_only,4,hit@5,1.0
